Epoch,AvgLoss,AvgBCELoss,Precision,Recall,F1_Score,IoU,Dice,ValLoss,ValBCELoss,ValPrecision,ValRecall,ValF1_Score,ValIoU,ValDice
1,4.587751836390109,1.2295191479293075,0.261599856137665,0.05801418123352613,0.09496767782454704,0.049850953560776665,0.09496767782454704,4.979385015126821,1.300975412935824,0.0,0.0,0.0,0.0,0.0
2,4.362139578606631,1.1809560048419077,0.2973541783247263,0.09970913149641761,0.1493410553644198,0.08069615192864565,0.1493410553644198,4.379655825125204,1.1733592265361064,0.2676417177172445,0.041030599384749976,0.07115312575746847,0.03688894474083677,0.07115312575746847
3,4.291329474062533,1.1647831493535556,0.33036273898299146,0.132063828157272,0.18869576746174405,0.10417673854674145,0.18869576746174405,4.420320323995642,1.2074565565263904,0.529211487217363,0.01238923332305086,0.024211653876062948,0.012254173845878227,0.024211653876062948
4,4.289925236154247,1.1607549697966189,0.3395491917305784,0.14127510856052164,0.199531716239522,0.11082212224409634,0.199531716239522,4.34624381967493,1.1935957235258978,0.21734427717434646,0.17316393872496905,0.19275492582490175,0.10665677200026849,0.19275492582490175
5,4.217269940150751,1.1484235055946015,0.34849718283910047,0.1593589935047914,0.21870822048992383,0.12278068253931819,0.21870822048992383,4.401624956646481,1.1924404904649064,0.21476820192807405,0.18415656756433055,0.19828788740977216,0.11005525578928588,0.19828788740977216
6,4.235976436653653,1.1562132988427136,0.33919799299138953,0.15487584147739097,0.21265475290132385,0.11897799445659284,0.21265475290132385,4.3717814136195825,1.2046528668017,0.19318752250543234,0.16671345118409112,0.1789767794869649,0.0982836338773,0.1789767794869649
7,4.153206246124731,1.142176539712661,0.34302419740490725,0.1630292749766762,0.22101611491447562,0.12423727767711078,0.22101611491447562,4.266236163474418,1.1597583712758244,0.27609570508095205,0.19012650302479925,0.2251849439797793,0.12687797706918583,0.2251849439797793
8,4.154211484097146,1.1327226242503605,0.35393956375399066,0.18527351530514058,0.24322713869141563,0.1384511020452813,0.24322713869141563,4.370480421427134,1.180384552156603,0.2313040666180938,0.09584357105642954,0.1355290712299746,0.07269036440240015,0.1355290712299746
9,4.181524737461193,1.1476105520048656,0.33485803242491413,0.15706753734889098,0.21383448938692456,0.1197170632376218,0.21383448938692456,4.400497172329877,1.221133510808687,0.19328274123765238,0.2708846663454972,0.22559675675258573,0.1271395087960452,0.22559675675258573
10,4.097385733514218,1.1248496829255208,0.36186190555902265,0.18840099416032402,0.24779116597117992,0.1414164574215954,0.24779116597117992,4.140341990702861,1.1506330338684287,0.21990079663304776,0.11154122062537482,0.14800780827869547,0.07991815999025999,0.14800780827869547
11,4.049124671800716,1.1267564894782531,0.3422702902056683,0.18539048817810103,0.240509277132361,0.13669255200185204,0.240509277132361,4.2134896871205925,1.1491377546980575,0.24338652852527762,0.12520923075855317,0.16535317754527304,0.0901280701666783,0.16535317754527304
